Exercise,Muscle,Equipment,Difficulty,Male,Female
Barbell Curl,"Biceps, Long Head Bicep",Barbell,Intermediate,,
Barbell Bent Over Row,"Biceps, Forearms",Barbell,Intermediate,https://musclewiki.com/barbell/male/biceps/barbell-bent-over-row,https://musclewiki.com/barbell/female/biceps/barbell-bent-over-row
Barbell Reverse Curl,"Biceps, Forearms, Wrist Extensors, Wrist Flexors","Barbell, Advanced",Advanced,"https://musclewiki.com/barbell/male/biceps/barbell-reverse-curl, Male|Female","https://musclewiki.com/barbell/female/biceps/barbell-reverse-curl, Barbell"
Barbell Landmine Row,"Biceps, Traps (mid-back), Forearms, Lats",Barbell,Intermediate,https://musclewiki.com/barbell/male/biceps/barbell-landmine-row,https://musclewiki.com/barbell/female/biceps/barbell-landmine-row
Barbell Long Landmine Row,"Biceps, Forearms, Lats",Barbell,Advanced,https://musclewiki.com/barbell/male/biceps/barbell-long-landmine-row,https://musclewiki.com/barbell/female/biceps/barbell-long-landmine-row
Barbell Meadows Row,"Biceps, Forearms, Lats",Barbell,Intermediate,https://musclewiki.com/barbell/male/biceps/barbell-meadows-row,https://musclewiki.com/barbell/female/biceps/barbell-meadows-row
Barbell Pronated Pendlay Row,"Biceps, Lower back, Lats",Barbell,Advanced,https://musclewiki.com/barbell/male/biceps/barbell-pronated-pendlay-row,https://musclewiki.com/barbell/female/biceps/barbell-pronated-pendlay-row
Barbell Pronated Row,"Biceps, Forearms, Lats",Barbell,Intermediate,https://musclewiki.com/barbell/male/biceps/barbell-pronated-row,https://musclewiki.com/barbell/female/biceps/barbell-pronated-row
Barbell Supinated Pendlay Row,"Biceps, Lower back, Lats",Barbell,Advanced,https://musclewiki.com/barbell/male/biceps/barbell-supinated-pendlay-row,https://musclewiki.com/barbell/female/biceps/barbell-supinated-pendlay-row
Barbell Supinated Row,"Biceps, Lower back, Lats",Barbell,Advanced,https://musclewiki.com/barbell/male/biceps/barbell-supinated-row,https://musclewiki.com/barbell/female/biceps/barbell-supinated-row
Landmine Bicep Curl,Biceps,Barbell,Intermediate,https://musclewiki.com/barbell/male/biceps/landmine-bicep-curl,https://musclewiki.com/barbell/female/biceps/landmine-bicep-curl
Landmine Concentration Curl,Biceps,Barbell,Intermediate,https://musclewiki.com/barbell/male/biceps/landmine-concentration-curl,https://musclewiki.com/barbell/female/biceps/landmine-concentration-curl
Landmine T Bar Rows,"Biceps, Lower back, Lats",Barbell,Beginner,https://musclewiki.com/barbell/male/biceps/landmine-t-bar-rows,https://musclewiki.com/barbell/female/biceps/landmine-t-bar-rows
Barbell Drag Curl,"Biceps, Long Head Bicep, Short Head Bicep",Barbell,Intermediate,https://musclewiki.com/barbell/male/biceps/barbell-drag-curl,https://musclewiki.com/barbell/female/biceps/barbell-drag-curl
EZ Bar Reverse Preacher Curl,"Biceps, Forearms",Barbell,Novice,https://musclewiki.com/barbell/male/biceps/ez-bar-reverse-preacher-curl,https://musclewiki.com/barbell/female/biceps/ez-bar-reverse-preacher-curl
EZ Bar Preacher Curl,Biceps,Barbell,Novice,https://musclewiki.com/barbell/male/biceps/ez-bar-preacher-curl,https://musclewiki.com/barbell/female/biceps/ez-bar-preacher-curl
Dumbbell Curl,Biceps,Dumbbells,Novice,https://musclewiki.com/dumbbells/male/biceps/dumbbell-curl,https://musclewiki.com/dumbbells/female/biceps/dumbbell-curl
Dumbbell Hammer Curl,"Biceps, Short Head Bicep",Dumbbells,Novice,https://musclewiki.com/dumbbells/male/biceps/dumbbell-hammer-curl,https://musclewiki.com/dumbbells/female/biceps/dumbbell-hammer-curl
Dumbbell Reverse Curl,"Biceps, Forearms, Wrist Extensors, Wrist Flexors",Dumbbells,Novice,https://musclewiki.com/dumbbells/male/biceps/dumbbell-reverse-curl,https://musclewiki.com/dumbbells/female/biceps/dumbbell-reverse-curl
Dumbbell Rear Delt Row,"Biceps, Traps (mid-back), Shoulders, Posterior Deltoid, Rear Shoulders",Dumbbells,Intermediate,https://musclewiki.com/dumbbells/male/biceps/dumbbell-rear-delt-row,https://musclewiki.com/dumbbells/female/biceps/dumbbell-rear-delt-row
Dumbbell Incline Hammer Curl,"Biceps, Long Head Bicep",Dumbbells,Novice,https://musclewiki.com/dumbbells/male/biceps/dumbbell-incline-hammer-curl,https://musclewiki.com/dumbbells/female/biceps/dumbbell-incline-hammer-curl
Dumbbell Incline Reverse Curl,"Biceps, Long Head Bicep, Forearms, Wrist Flexors",Dumbbells,Novice,https://musclewiki.com/dumbbells/male/biceps/dumbbell-incline-reverse-curl,https://musclewiki.com/dumbbells/female/biceps/dumbbell-incline-reverse-curl
Dumbbell Incline Zottman Curl,"Biceps, Long Head Bicep, Forearms, Wrist Flexors",Dumbbells,Intermediate,https://musclewiki.com/dumbbells/male/biceps/dumbbell-incline-zottman-curl,https://musclewiki.com/dumbbells/female/biceps/dumbbell-incline-zottman-curl
Dumbbell Alternating Pendlay Row,"Biceps, Lower back, Lats",Dumbbells,Advanced,https://musclewiki.com/dumbbells/male/biceps/dumbbell-alternating-pendlay-row,https://musclewiki.com/dumbbells/female/biceps/dumbbell-alternating-pendlay-row
Dumbbell Kneeling Single Arm Row,"Biceps, Lats",Dumbbells,Novice,https://musclewiki.com/dumbbells/male/biceps/dumbbell-kneeling-single-arm-row,https://musclewiki.com/dumbbells/female/biceps/dumbbell-kneeling-single-arm-row
Dumbbell Laying Incline Row,"Biceps, Lats",Dumbbells,Novice,https://musclewiki.com/dumbbells/male/biceps/dumbbell-laying-incline-row,https://musclewiki.com/dumbbells/female/biceps/dumbbell-laying-incline-row
Dumbbell Pendlay Row,"Biceps, Lats",Dumbbells,Intermediate,https://musclewiki.com/dumbbells/male/biceps/dumbbell-pendlay-row,https://musclewiki.com/dumbbells/female/biceps/dumbbell-pendlay-row
Dumbbell Single Arm Preacher Curl,Biceps,Dumbbells,Novice,https://musclewiki.com/dumbbells/male/biceps/dumbbell-single-arm-preacher-curl,https://musclewiki.com/dumbbells/female/biceps/dumbbell-single-arm-preacher-curl
Dumbbell Single Arm Row,"Biceps, Lats",Dumbbells,Novice,https://musclewiki.com/dumbbells/male/biceps/dumbbell-single-arm-row,https://musclewiki.com/dumbbells/female/biceps/dumbbell-single-arm-row
Dumbbell Single Arm Row Knee,"Biceps, Lats",Dumbbells,Novice,https://musclewiki.com/dumbbells/male/biceps/dumbbell-single-arm-row-knee,https://musclewiki.com/dumbbells/female/biceps/dumbbell-single-arm-row-knee
Dumbbell Single Arm Spider Curl,Biceps,Dumbbells,Beginner,https://musclewiki.com/dumbbells/male/biceps/dumbbell-single-arm-spider-curl,https://musclewiki.com/dumbbells/female/biceps/dumbbell-single-arm-spider-curl
Dumbbell Spider Curl,Biceps,Dumbbells,Beginner,https://musclewiki.com/dumbbells/male/biceps/dumbbell-spider-curl,https://musclewiki.com/dumbbells/female/biceps/dumbbell-spider-curl
Dumbbell Twisting Curl,Biceps,Dumbbells,Novice,https://musclewiki.com/dumbbells/male/biceps/dumbbell-twisting-curl,https://musclewiki.com/dumbbells/female/biceps/dumbbell-twisting-curl
Lawnmower Row,"Biceps, Lats",Dumbbells,Intermediate,https://musclewiki.com/dumbbells/male/biceps/lawnmower-row,https://musclewiki.com/dumbbells/female/biceps/lawnmower-row
Dumbbell Concentration Curl,Biceps,Dumbbells,Beginner,https://musclewiki.com/dumbbells/male/biceps/dumbbell-concentration-curl,https://musclewiki.com/dumbbells/female/biceps/dumbbell-concentration-curl
Dumbbell Knee Lawnmower Row,"Biceps, Lats",Dumbbells,Beginner,https://musclewiki.com/dumbbells/male/biceps/dumbbell-knee-lawnmower-row,https://musclewiki.com/dumbbells/female/biceps/dumbbell-knee-lawnmower-row
Dumbbell Supinated Row,"Biceps, Lats",Dumbbells,Beginner,https://musclewiki.com/dumbbells/male/biceps/dumbbell-supinated-row,https://musclewiki.com/dumbbells/female/biceps/dumbbell-supinated-row
Dumbbell Preacher Curl,Biceps,Dumbbells,Novice,https://musclewiki.com/dumbbells/male/biceps/dumbbell-preacher-curl,https://musclewiki.com/dumbbells/female/biceps/dumbbell-preacher-curl
Dumbbell Incline Curl,Biceps,Dumbbells,Novice,https://musclewiki.com/dumbbells/male/biceps/dumbbell-incline-curl,https://musclewiki.com/dumbbells/female/biceps/dumbbell-incline-curl
Dumbbell Weighted Chin Ups,"Biceps, Forearms, Lats",Dumbbells,Advanced,https://musclewiki.com/dumbbells/male/biceps/dumbbell-weighted-chin-ups,https://musclewiki.com/dumbbells/female/biceps/dumbbell-weighted-chin-ups
Chin Ups,"Biceps, Forearms, Lats",Bodyweight,Intermediate,https://musclewiki.com/bodyweight/male/biceps/chin-ups,https://musclewiki.com/bodyweight/female/biceps/chin-ups
Ring Row,"Biceps, Lats",Bodyweight,Novice,https://musclewiki.com/bodyweight/male/biceps/ring-row,https://musclewiki.com/bodyweight/female/biceps/ring-row
Ring Curl,Biceps,Bodyweight,Beginner,https://musclewiki.com/bodyweight/male/biceps/ring-curl,https://musclewiki.com/bodyweight/female/biceps/ring-curl
Bodyweight Assisted Pull Up,"Biceps, Lats",Bodyweight,Novice,https://musclewiki.com/bodyweight/male/biceps/bodyweight-assisted-pull-up,https://musclewiki.com/bodyweight/female/biceps/bodyweight-assisted-pull-up
Bodyweight Assisted Chin Up,"Biceps, Lats",Bodyweight,Novice,https://musclewiki.com/bodyweight/male/biceps/bodyweight-assisted-chin-up,https://musclewiki.com/bodyweight/female/biceps/bodyweight-assisted-chin-up
Bodyweight Assisted Gironda Chin Up,"Biceps, Lats",Bodyweight,Novice,https://musclewiki.com/bodyweight/male/biceps/bodyweight-assisted-gironda-chin-up,https://musclewiki.com/bodyweight/female/biceps/bodyweight-assisted-gironda-chin-up
Bodyweight Assisted Mixed Grip Pullup,"Biceps, Lats",Bodyweight,Novice,https://musclewiki.com/bodyweight/male/biceps/bodyweight-assisted-mixed-grip-pullup,https://musclewiki.com/bodyweight/female/biceps/bodyweight-assisted-mixed-grip-pullup
Bodyweight Underhand Inverted Row,"Biceps, Forearms, Lats",Bodyweight,Beginner,https://musclewiki.com/bodyweight/male/biceps/bodyweight-underhand-inverted-row,https://musclewiki.com/bodyweight/female/biceps/bodyweight-underhand-inverted-row
Bodyweight Concentration Curl,Biceps,Bodyweight,Novice,https://musclewiki.com/bodyweight/male/biceps/bodyweight-concentration-curl,https://musclewiki.com/bodyweight/female/biceps/bodyweight-concentration-curl
Bodyweight Inverted Curl,Biceps,Bodyweight,Novice,https://musclewiki.com/bodyweight/male/biceps/bodyweight-inverted-curl,https://musclewiki.com/bodyweight/female/biceps/bodyweight-inverted-curl
Bodyweight Close Grip Inverted Curl,Biceps,Bodyweight,Novice,https://musclewiki.com/bodyweight/male/biceps/bodyweight-close-grip-inverted-curl,https://musclewiki.com/bodyweight/female/biceps/bodyweight-close-grip-inverted-curl
L Sit Chin Up,"Biceps, Forearms, Lats",Bodyweight,Intermediate,https://musclewiki.com/bodyweight/male/biceps/l-sit-chin-up,https://musclewiki.com/bodyweight/female/biceps/l-sit-chin-up
Machine Seated Cable Row,"Biceps, Traps (mid-back), Lats",Machine,Novice,https://musclewiki.com/machine/male/biceps/machine-seated-cable-row,https://musclewiki.com/machine/female/biceps/machine-seated-cable-row
Narrow Pulldown,"Biceps, Traps (mid-back), Lats, Lower Traps",Machine,Novice,https://musclewiki.com/machine/male/biceps/narrow-pulldown,https://musclewiki.com/machine/female/biceps/narrow-pulldown
Neutral Pulldown,"Biceps, Traps (mid-back), Lats, Lower Traps",Machine,Novice,https://musclewiki.com/machine/male/biceps/neutral-pulldown,https://musclewiki.com/machine/female/biceps/neutral-pulldown
Underhand Pulldown,"Biceps, Lats, Lower Traps",Machine,Novice,https://musclewiki.com/machine/male/biceps/underhand-pulldown,https://musclewiki.com/machine/female/biceps/underhand-pulldown
Machine Assisted Pull Up,"Biceps, Lats",Machine,Novice,https://musclewiki.com/machine/male/biceps/machine-assisted-pull-up,https://musclewiki.com/machine/female/biceps/machine-assisted-pull-up
Machine Assisted Narrow Pull Up,"Biceps, Lats",Machine,Novice,https://musclewiki.com/machine/male/biceps/machine-assisted-narrow-pull-up,https://musclewiki.com/machine/female/biceps/machine-assisted-narrow-pull-up
Machine Assisted Neutral Chin Up,"Biceps, Lats",Machine,Novice,https://musclewiki.com/machine/male/biceps/machine-assisted-neutral-chin-up,https://musclewiki.com/machine/female/biceps/machine-assisted-neutral-chin-up
Machine Assisted Chin Up,"Biceps, Lats",Machine,Novice,https://musclewiki.com/machine/male/biceps/machine-assisted-chin-up,https://musclewiki.com/machine/female/biceps/machine-assisted-chin-up
